name,en,fr,es,it,ko,de,hi,ja,zh-cn
bulbasaur,"
Bulbasaur (Japanese: フシギダネ Fushigidane) is a dual-type Grass/Poison Pokémon introduced in Generation I.
The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","Bulbizarre (japonais : フシギダネ Fushigidane) est un Pokémon Herbe/Poison de type double introduit dans la Génération I.
La graine sur son dos est remplie de nutriments. La graine grossit régulièrement à mesure que son corps grandit.","Bulbasaur (en japonés: フシギダネ Fushigidane) es un Pokémon tipo planta/veneno de tipo dual introducido en la primera generación.
La semilla en su espalda está llena de nutrientes. La semilla se hace cada vez más grande a medida que crece su cuerpo.","Bulbasaur (giapponese: フシギダネ Fushigidane) è un Pokémon di doppio tipo Erba/Veleno introdotto in prima generazione.
Il seme sul dorso è pieno di sostanze nutritive. Il seme cresce costantemente più grande man mano che il suo corpo cresce.","Bulbasaur(일어: フシギダネ Fushigidane)는 1세대에 도입된 듀얼 타입 풀/독 포켓몬입니다.
뒷면의 씨앗에는 영양분이 가득합니다. 씨는 몸이 자랄수록 점점 더 커집니다.","Bulbasaur (japanisch: フシギダネ Fushigidane) ist ein Gras/Gift-Pokémon vom dualen Typ, das in Generation I eingeführt wurde.
Der Samen auf seinem Rücken ist mit Nährstoffen gefüllt. Der Samen wird stetig größer, wenn sein Körper wächst.","बुलबासौर (जापानी: フシギダネ फशिगिडेन) एक दोहरी प्रकार की घास / जहर पोकेमॉन पीढ़ी I में पेश किया गया है।
इसकी पीठ पर स्थित बीज पोषक तत्वों से भरा होता है। जैसे-जैसे इसका शरीर बढ़ता है, बीज लगातार बड़ा होता जाता है।","フシギダネ（日本語：フシギダネフシギダネ）は、第1世代で導入されたデュアルタイプの草/毒ポケモンです。
その背中の種は栄養素で満たされています。種は体が成長するにつれて着実に大きくなります。","大头龙（日文︰フシギダネ，英文︰Bulbasaur）是第一世代引入的草/毒双属性宝可梦。
它背上的种子充满了营养。种子随着身体的成长而逐渐变大。"
ivysaur,"Ivysaur (Japanese: フシギソウ Fushigisou) is a dual-type Grass/Poison Pokémon introduced in Generation I.
Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.","Ivysaur (japonais : フシギソウ Fushigisou) est un Pokémon Herbe/Poison de type double introduit dans la Génération I.
L'exposition au soleil ajoute à sa force. La lumière du soleil fait également grossir le bourgeon sur son dos.","Ivysaur (en japonés: フシギソウ Fushigisou) es un Pokémon tipo planta/veneno de tipo dual introducido en la primera generación.
La exposición a la luz solar aumenta su fuerza. La luz del sol también hace que el capullo de su espalda crezca más.","Ivysaur (giapponese: フシギソウ Fushigisou) è un Pokémon di doppio tipo Erba/Veleno introdotto in prima generazione.
L'esposizione alla luce solare aumenta la sua forza. La luce del sole fa crescere anche le cime sul dorso.","아이비사우르스(일본어: フシギソウ Fushigisou)는 1세대에 도입된 듀얼 타입 풀/독 포켓몬입니다.
햇빛에 노출되면 강도가 높아집니다. 햇빛은 또한 등의 꽃 봉오리를 더 크게 만듭니다.","Efeusaurier (japanisch: フシギソウ Fushigisou) ist ein Gras/Gift-Pokémon vom dualen Typ, das in Generation I eingeführt wurde.
Sonneneinstrahlung trägt zu seiner Stärke bei. Sonnenlicht lässt auch die Knospe auf ihrem Rücken größer werden.","Ivysaur (जापानी: フシギソウ Fushigisou) एक दोहरी प्रकार घास / जहर Pokémon पीढ़ी I में पेश किया गया है।
सूर्य के प्रकाश के संपर्क में आने से इसकी ताकत बढ़ जाती है। सूरज की रोशनी उसकी पीठ पर कली को भी बड़ा करती है।","フシギソウ（日本語：フシギソウフシギソウ）は、第1世代で導入されたデュアルタイプの草/毒ポケモンです。
日光への露出はその強さを増します。日光はまた、背中のつぼみを大きくします。","常春藤龙（日文︰フシギソウ，英文︰Ivysaur）是第一世代引入的草/毒双属性宝可梦。
暴露在阳光下会增加其强度。阳光也使它背上的芽变大。"
venusaur,"Venusaur (Japanese: フシギバナ Fushigibana) is a dual-type Grass/Poison Pokémon introduced in Generation I.
There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.","Venusaur (japonais : フシギバナ Fushigibana) est un Pokémon Herbe/Poison de type double introduit dans la Génération I.
Il y a une grande fleur sur le dos de Venusaur. On dit que la fleur prend des couleurs vives si elle reçoit beaucoup de nutrition et de soleil. L'arôme de la fleur apaise les émotions des gens.","Venusaur (en japonés: フシギバナ Fushigibana) es un Pokémon tipo planta/veneno de tipo dual introducido en la primera generación.
Hay una gran flor en la espalda de Venusaur. Se dice que la flor adquiere colores vivos si recibe mucha nutrición y luz solar. El aroma de la flor calma las emociones de las personas.","Venusaur (giapponese: フシギバナ Fushigibana) è un Pokémon di doppio tipo Erba/Veleno introdotto in prima generazione.
C'è un grande fiore sulla schiena di Venusaur. Si dice che il fiore assuma colori vivaci se riceve molta nutrizione e luce solare. L'aroma del fiore lenisce le emozioni delle persone.","Venusaur(일본어: fushigibana Fushigibana)는 1세대에 도입된 듀얼 타입 풀/독 포켓몬입니다.
Venusaur의 등에 큰 꽃이 있습니다. 꽃은 충분한 영양과 햇빛을 받으면 선명한 색을 띤다고 합니다. 꽃향기는 사람의 마음을 달래줍니다.","Venusaur (japanisch: フシギバナ Fushigibana) ist ein Gras/Gift-Pokémon vom dualen Typ, das in Generation I eingeführt wurde.
Auf dem Rücken von Venusaur ist eine große Blume. Die Blume soll lebendige Farben annehmen, wenn sie viel Nahrung und Sonnenlicht bekommt. Das Aroma der Blume beruhigt die Emotionen der Menschen.","वीनसौर (जापानी: フシギバナ फ़ुशिगिबाना) एक दोहरे प्रकार का घास/ज़हर पोकेमोन है जिसे जनरेशन I में पेश किया गया है।
वीनसौर की पीठ पर एक बड़ा फूल है। कहा जाता है कि अगर फूल को भरपूर पोषण और धूप मिलती है तो वह चमकीले रंग लेता है। फूल की सुगंध लोगों की भावनाओं को शांत करती है।","フシギバナ（日本語：フシギバナフシギバナ）は、第1世代で導入されたデュアルタイプのグラス/ポイズンポケモンです。
フシギバナの背中には大きな花があります。栄養と日光がたっぷり入ると鮮やかな色になると言われています。花の香りが人々の感情を和らげます。","金星（日文︰フシギバナ，英文︰Venusaur）是第一世代引入的草/毒双属性宝可梦。
维纳斯的背上有一朵大花。据说如果得到充足的营养和阳光，这种花就会呈现出鲜艳的色彩。花的香气可以抚慰人们的情绪。"
charmander,"Charmander (Japanese: ヒトカゲ Hitokage) is a Fire-type Pokémon introduced in Generation I.
The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly.","Salamèche (japonais : ヒトカゲ Hitokage) est un Pokémon de type Feu introduit dans la Génération I.
La flamme sur sa queue indique la force vitale de Salamèche. S'il est sain, la flamme brûle vivement.","Charmander (en japonés: ヒトカゲ Hitokage) es un Pokémon de tipo fuego introducido en la primera generación.
La llama en su cola indica la fuerza vital de Charmander. Si es saludable, la llama arde intensamente.","Charmander (giapponese: ヒトカゲ Hitokage) è un Pokémon di tipo Fuoco introdotto in prima generazione.
La fiamma sulla sua coda indica la forza vitale di Charmander. Se è sano, la fiamma arde brillantemente.","Charmander(일본어: ヒtかゲ Hitokage)는 1세대에 등장한 불 타입 포켓몬입니다.
꼬리의 불꽃은 샤르만더의 생명력을 나타냅니다. 건강하면 불꽃이 밝게 타오릅니다.","Glumanda (japanisch: ヒトカゲ Hitokage) ist ein Feuer-Pokémon, das in Generation I eingeführt wurde.
Die Flamme an seinem Schweif zeigt Glumandas Lebenskraft an. Wenn es gesund ist, brennt die Flamme hell.","चार्मेंडर (जापानी: ヒトカゲ हिटोकेज) एक फायर-टाइप पोकेमोन है जिसे जनरेशन I में पेश किया गया है।
इसकी पूंछ पर लगी ज्वाला चारमंदर की जीवन शक्ति को दर्शाती है। यदि यह स्वस्थ है, तो लौ तेज जलती है।","ヒトカゲ（日本語：ヒトカゲヒトカゲ）は、第1世代で導入された火型のポケモンです。
尻尾の炎はヒトカゲの生命力を示しています。健康であれば炎は明るく燃えます。","Charmander（日文︰ヒトカゲ Hitokage）是第一世代引入的火属性宝可梦。
它尾巴上的火焰表明了小火龙的生命力。如果它是健康的，火焰就会明亮地燃烧。"
charmeleon,"Charmeleon (Japanese: リザード Lizardo) is a Fire-type Pokémon introduced in Generation I.
Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","Charmeleon (japonais : リザード Lizardo) est un Pokémon de type Feu introduit dans la Génération I.
Charmeleon détruit sans pitié ses ennemis à l'aide de ses griffes acérées. S'il rencontre un ennemi puissant, il devient agressif. Dans cet état excité, la flamme au bout de sa queue s'embrase d'une couleur blanc bleuté.","Charmeleon (en japonés: リザード Lizardo) es un Pokémon de tipo fuego introducido en la primera generación.
Charmeleon destruye sin piedad a sus enemigos con sus afiladas garras. Si se encuentra con un enemigo fuerte, se vuelve agresivo. En este estado excitado, la llama en la punta de su cola se enciende con un color blanco azulado.","Charmeleon è un Pokémon di tipo Fuoco introdotto in prima generazione.
Charmeleon distrugge senza pietà i suoi nemici usando i suoi artigli affilati. Se incontra un nemico forte, diventa aggressivo. In questo stato eccitato, la fiamma sulla punta della coda si illumina di un colore bianco bluastro.","샤멜레온(일본어: リザード Lizardo)은 1세대에 등장한 불 타입 포켓몬입니다.
샤멜레온은 날카로운 발톱으로 적을 무자비하게 파괴합니다. 강한 적을 만나면 공격적으로 변한다. 이 들뜬 상태에서 꼬리 끝의 불꽃은 청백색으로 타오른다.","Charmeleon (japanisch: リザード Lizardo) ist ein Feuer-Pokémon, das in Generation I eingeführt wurde.
Charmeleon vernichtet seine Feinde gnadenlos mit seinen scharfen Klauen. Trifft es auf einen starken Gegner, wird es aggressiv. In diesem angeregten Zustand flackert die Flamme an der Spitze seines Schweifes mit einer bläulich-weißen Farbe auf.","चार्मेलियन (जापानी: छिपकली) एक फायर-टाइप पोकेमोन है जिसे जनरेशन I में पेश किया गया है।
चमेली अपने नुकीले पंजों से अपने शत्रुओं को निर्दयता से नष्ट कर देती है। यदि यह एक मजबूत दुश्मन का सामना करता है, तो यह आक्रामक हो जाता है। इस उत्तेजित अवस्था में, इसकी पूंछ की नोक पर ज्वाला नीले सफेद रंग के साथ भड़कती है।","リザード（日本語：リザードリザード）は、第1世代で導入された火型のポケモンです。
リザードは鋭い爪を使って容赦なく敵を破壊します。強い敵に遭遇すると攻撃的になります。この励起状態では、尾の先端の炎が青みがかった白色に燃え上がります。","变色龙（日文︰リザード，英文︰Charmeleon）是第一世代引入的火属性宝可梦。
Charmeleon 用它锋利的爪子无情地摧毁它的敌人。如果遇到强大的敌人，它会变得好斗。在这种兴奋状态下，尾尖处的火焰会发出蓝白色的光芒。"
charizard,"Charizard (Japanese: リザードン Lizardon) is a dual-type Fire/Flying Pokémon introduced in Generation I.
Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.
Charizard has three other forms. It can Mega Evolve into two forms: Mega Charizard X using Charizardite X and Mega Charizard Y using Charizardite Y. It also has a Gigantamax form.","Charizard (japonais : リザードン Lizardon) est un Pokémon Feu/Vol de type double introduit dans la Génération I.
Charizard vole dans le ciel à la recherche d'adversaires puissants. Il crache un feu d'une telle chaleur qu'il fait fondre n'importe quoi. Cependant, il ne tourne jamais son souffle ardent sur un adversaire plus faible que lui.
Charizard a trois autres formes. Il peut Mega Evolve en deux formes: Mega Charizard X utilisant Charizardite X et Mega Charizard Y utilisant Charizardite Y. Il a également une forme Gigantamax.","Charizard (en japonés: リザードン Lizardon) es un Pokémon tipo fuego/volador de tipo dual introducido en la primera generación.
Charizard vuela por el cielo en busca de poderosos oponentes. Exhala fuego de un calor tan grande que derrite cualquier cosa. Sin embargo, nunca vuelve su aliento de fuego sobre ningún oponente más débil que él.
Charizard tiene otras tres formas. Puede Mega Evolucionar en dos formas: Mega Charizard X usando Charizardite X y Mega Charizard Y usando Charizardite Y. También tiene una forma Gigantamax.","Charizard (giapponese: リザードン Lizardon) è un Pokémon di doppio tipo Fuoco/Volante introdotto in prima generazione.
Charizard vola nel cielo alla ricerca di potenti avversari. Sputano fuoco di così grande calore che scioglie qualsiasi cosa. Tuttavia, non rivolge mai il suo soffio di fuoco a nessun avversario più debole di lui.
Charizard ha altre tre forme. Può megaevolversi in due forme: Mega Charizard X usando Charizardite X e Mega Charizard Y usando Charizardite Y. Ha anche una forma Gigantamax.","리자몽(일본어: リザードン Lizardon)은 1세대에 도입된 듀얼 타입 불/비행 포켓몬입니다.
Charizard는 강력한 적을 찾아 하늘을 날고 있습니다. 무엇이든 녹일 정도로 뜨거운 불을 내뿜습니다. 그러나 자신보다 약한 상대에게는 절대 불의 숨결을 돌리지 않는다.
Charizard에는 세 가지 다른 형태가 있습니다. Charizardite X를 사용하는 Mega Charizard X와 Charizardite Y를 사용하는 Mega Charizard Y의 두 가지 형태로 메가 진화할 수 있습니다. 또한 Gigantamax 형태도 있습니다.","Glurak (japanisch: リザードン Lizardon) ist ein Feuer-/Flug-Pokémon vom Doppeltyp, das in Generation I eingeführt wurde.
Charizard fliegt auf der Suche nach mächtigen Gegnern durch den Himmel. Es speit Feuer von so großer Hitze, dass es alles schmilzt. Allerdings richtet es seinen feurigen Atem niemals auf einen Gegner, der schwächer ist als es selbst.
Glurak hat drei weitere Formen. Es kann sich in zwei Formen durch Mega-Entwicklung entwickeln: Mega-Glurak X mit Charizardite X und Mega-Glurak Y mit Charizardite Y. Es hat auch eine Gigantamax-Form.","चरज़ार्ड (जापानी: छिपकली) एक दोहरे प्रकार का फायर/फ्लाइंग पोकेमोन है जिसे जनरेशन I में पेश किया गया है।
शक्तिशाली विरोधियों की तलाश में चरज़ार्ड आसमान में उड़ता है। यह इतनी बड़ी गर्मी की आग में सांस लेता है कि यह कुछ भी पिघला देता है। हालांकि, यह कभी भी अपने से कमजोर किसी भी प्रतिद्वंद्वी पर अपनी उग्र सांस नहीं लेता है।
चरज़ार्ड के तीन अन्य रूप हैं। यह मेगा इवॉल्व दो रूपों में हो सकता है: मेगा चरज़ार्ड एक्स चरिज़ार्डाइट एक्स का उपयोग कर रहा है और मेगा चारिज़ार्ड वाई चरिज़र्डाइट वाई का उपयोग कर रहा है। इसमें एक गिगेंटामैक्स रूप भी है।","リザードン（日本語：リザードンリザードン）は、第1世代で導入されたデュアルタイプのファイア/フライングポケモンです。
リザードンは強力な敵を探して空を飛び回ります。それは何でも溶かすほどの大きな熱の火を吸います。ただし、自分より弱い相手に息を吹きかけることはありません。
リザードンには他に3つの形態があります。メガ進化は、リザードンXを使用したメガリザードンXとリザードンYを使用したメガリザードンYの2つの形式に進化できます。また、ギガンタマックス形式もあります。","喷火龙（日文︰リザードン，英文︰Charizard）是第一世代引入的火/飞双属性宝可梦。
喷火龙在天空中飞来飞去寻找强大的对手。它喷出的火焰如此之大，以至于它可以融化任何东西。但是，它绝不会向比自己弱的对手吐出炽热的气息。
喷火龙还有其他三种形式。它可以Mega Evolve成两种形式：使用Charizardite X的Mega Charizard X和使用Charizardite Y的Mega Charizard Y。它还具有Gigantamax形式。"
squirtle,"Squirtle (Japanese: ゼニガメ Zenigame) is a Water-type Pokémon introduced in Generation I.
Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","Carapuce (japonais : ゼニガメ Zenigame) est un Pokémon de type Eau introduit dans la Génération I.
La carapace de Squirtle n'est pas simplement utilisée pour la protection. La forme arrondie de la carapace et les rainures sur sa surface aident à minimiser la résistance dans l'eau, permettant à ce Pokémon de nager à grande vitesse.","Squirtle (en japonés: ゼニガメ Zenigame) es un Pokémon de tipo agua introducido en la primera generación.
El caparazón de Squirtle no se usa simplemente como protección. La forma redondeada del caparazón y las ranuras en su superficie ayudan a minimizar la resistencia en el agua, lo que permite a este Pokémon nadar a gran velocidad.","Squirtle è un Pokémon di tipo Acqua introdotto in prima generazione.
Il guscio di Squirtle non viene utilizzato solo per la protezione. La forma arrotondata del guscio e le scanalature sulla sua superficie aiutano a ridurre al minimo la resistenza in acqua, consentendo a questo Pokémon di nuotare ad alta velocità.","꼬부기(일본어: ゼ니가메 제니가메)는 1세대에 등장한 물타입 포켓몬이다.
Squirtle의 껍질은 보호용으로만 사용되지 않습니다. 껍데기의 둥근 모양과 표면의 홈은 물에 대한 저항을 최소화하여 빠른 속도로 헤엄칠 수 있습니다.","Squirtle (japanisch: ゼニガメ Zenigame) ist ein Wasser-Pokémon, das in Generation I eingeführt wurde.
Schiggys Panzer dient nicht nur dem Schutz. Die abgerundete Form des Panzers und die Rillen auf seiner Oberfläche tragen dazu bei, den Widerstand im Wasser zu minimieren, sodass dieses Pokémon mit hoher Geschwindigkeit schwimmen kann.","स्क्वर्टल (जापानी: ゼニガメ ज़ेनिगेम) एक जल-प्रकार का पोकेमोन है जिसे जनरेशन I में पेश किया गया है।
स्क्वर्टल के खोल का उपयोग केवल सुरक्षा के लिए नहीं किया जाता है। शेल का गोल आकार और इसकी सतह पर खांचे पानी में प्रतिरोध को कम करने में मदद करते हैं, जिससे यह पोकेमोन तेज गति से तैरने में सक्षम होता है।","ゼニガメ（日本語：ゼニガメゼニガメ）は、第1世代で導入された水型のポケモンです。
ゼニガメの殻は単に保護のために使用されるのではありません。シェルの丸みを帯びた形状とその表面の溝は、水中での抵抗を最小限に抑えるのに役立ち、このポケモンが高速で泳ぐことを可能にします。","松鼠（日文︰ゼニガメ Zenigame）是第一世代引入的水属性宝可梦。
松鼠的壳不仅仅用于保护。外壳的圆形形状和其表面的凹槽有助于最大限度地减少水中的阻力，使这只神奇宝贝能够高速游泳。"
wartortle,"Wartortle (Japanese: カメール Kameil) is a Water-type Pokémon introduced in Generation I.
Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.","Wartortle (japonais : カメール Kameil) est un Pokémon de type Eau introduit dans la Génération I.
Sa queue est grande et recouverte d'une fourrure riche et épaisse. La queue devient de plus en plus profonde en couleur à mesure que Wartortle vieillit. Les rayures sur sa carapace témoignent de la ténacité de ce Pokémon en tant que combattant.","Wartortle (en japonés: カメール Kameil) es un Pokémon de tipo agua introducido en la primera generación.
Su cola es grande y está cubierta de un pelaje rico y espeso. La cola se vuelve cada vez más profunda en color a medida que Wartortle envejece. Los rasguños en su caparazón son evidencia de la dureza de este Pokémon como luchador.","Wartortle è un Pokémon di tipo Acqua introdotto in prima generazione.
La sua coda è grande e ricoperta da una folta pelliccia. La coda diventa di colore sempre più intenso con l'età di Wartortle. I graffi sul guscio sono la prova della robustezza di questo Pokémon come lottatore.","Wartortle(일본어: camé-l Kameil)은 1세대에 도입된 물 타입 포켓몬입니다.
꼬리는 크고 풍부하고 두꺼운 모피로 덮여 있습니다. 꼬리는 Wartortle이 나이를 먹으면서 점점 더 짙어집니다. 껍질의 흠집은 이 포켓몬의 강인함을 보여주는 증거입니다.","Wartortle (japanisch: カメール Kameil) ist ein Wasser-Pokémon, das in Generation I eingeführt wurde.
Sein Schwanz ist groß und mit einem reichen, dicken Fell bedeckt. Der Schwanz wird mit zunehmendem Alter der Wartortle immer dunkler. Die Kratzer auf seinem Panzer zeugen von der Zähigkeit dieses Pokémon als Kämpfer.","वार्टोर्टल (जापानी: कामिल) एक जल-प्रकार का पोकेमोन है जिसे जनरेशन I में पेश किया गया है।
इसकी पूंछ बड़ी है और एक अमीर, मोटी फर से ढकी हुई है। वार्टोर्टल युग के रूप में पूंछ रंग में तेजी से गहरी हो जाती है। इसके खोल पर खरोंच इस पोकेमोन की एक बल्लेबाज के रूप में क्रूरता का प्रमाण है।","カメール（日本語：カメールカメール）は、第1世代で導入された水型のポケモンです。
その尻尾は大きく、豊かで厚い毛皮で覆われています。カメールが年をとるにつれて、尾の色はますます濃くなります。その殻の傷は、このポケモンの戦闘機としてのタフさの証拠です。","龟龟（日文︰カメール Kameil）是第一世代引入的水属性宝可梦。
它的尾巴很大，覆盖着丰富而厚实的皮毛。随着 Wartortle 年龄的增长，尾巴的颜色变得越来越深。它外壳上的划痕证明了这只神奇宝贝作为战斗者的坚韧。"
blastoise,"Blastoise (Japanese: カメックス Kamex) is a Water-type Pokémon introduced in Generation I.
Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
Blastoise has two other forms. It can Mega Evolve into Mega Blastoise using the Blastoisinite. It also has a Gigantamax form that was introduced in The Isle of Armor.","Blastoise (japonais : カメックス Kamex) est un Pokémon de type Eau introduit dans la Génération I.
Blastoise a des jets d'eau qui dépassent de sa coquille. Les jets d'eau sont très précis. Ils peuvent tirer des balles d'eau avec suffisamment de précision pour frapper des canettes vides à une distance de plus de 160 pieds.
Blastoise a deux autres formes. Il peut Mega Evolve en Mega Blastoise en utilisant la Blastoisinite. Il a également une forme Gigantamax qui a été introduite dans The Isle of Armor.","Blastoise (en japonés: カメックス Kamex) es un Pokémon de tipo agua introducido en la primera generación.
Blastoise tiene chorros de agua que sobresalen de su caparazón. Los chorros de agua son muy precisos. Pueden disparar balas de agua con suficiente precisión para golpear latas vacías desde una distancia de más de 160 pies.
Blastoise tiene otras dos formas. Puede Mega Evolucionar en Mega Blastoise usando el Blastoisinite. También tiene una forma Gigantamax que se introdujo en The Isle of Armor.","Blastoise (giapponese: カメックス Kamex) è un Pokémon di tipo Acqua introdotto in prima generazione.
Blastoise ha beccucci d'acqua che sporgono dal suo guscio. I getti dell'acqua sono molto precisi. Possono sparare proiettili d'acqua con una precisione sufficiente per colpire lattine vuote da una distanza di oltre 160 piedi.
Blastoise ha altre due forme. Può megaevolversi in Mega Blastoise usando la Blastoisinite. Ha anche una forma Gigantamax che è stata introdotta in The Isle of Armor.","Blastoise(일본어: cameks Kamex)는 1세대에 도입된 물 타입 포켓몬입니다.
Blastoise에는 껍질에서 튀어나온 물 분출구가 있습니다. 물 분사구는 매우 정확합니다. 그들은 160피트가 넘는 거리에서 빈 캔을 공격할 수 있을 만큼 충분한 정확도로 물의 총알을 쏠 수 있습니다.
Blastoise에는 두 가지 다른 형태가 있습니다. 블라스토아지나이트를 사용하여 메가 블라스토이즈로 메가 진화할 수 있습니다. 갑옷의 섬에서 도입된 기간타맥스 형태도 있습니다.","Blastoise (japanisch: カメックス Kamex) ist ein Wasser-Pokémon, das in Generation I eingeführt wurde.
Blastoise hat Wasserspeier, die aus seiner Schale herausragen. Die Wasserspeier sind sehr genau. Sie können Wassergeschosse mit ausreichender Genauigkeit abfeuern, um leere Dosen aus einer Entfernung von über 50 Metern zu treffen.
Blastoise hat zwei andere Formen. Es kann mithilfe des Blastoisinite eine Mega-Entwicklung zu Mega-Blastoise durchführen. Es hat auch eine Gigantamax-Form, die in The Isle of Armor eingeführt wurde.","ब्लास्टोइज़ (जापानी: カメックス कमेक्स) एक जल-प्रकार का पोकेमोन है जिसे जनरेशन I में पेश किया गया है।
ब्लास्टोइस में पानी की टोंटी होती है जो इसके खोल से निकलती है। पानी के टोंटी बहुत सटीक हैं। वे 160 फीट से अधिक की दूरी से खाली डिब्बे पर प्रहार करने के लिए पर्याप्त सटीकता के साथ पानी की गोलियां दाग सकते हैं।
ब्लास्टोइस के दो अन्य रूप हैं। यह ब्लास्टोइसिनाइट का उपयोग करके मेगा ब्लास्टोइस में विकसित हो सकता है। इसमें एक गिगेंटामैक्स रूप भी है जिसे द आइल ऑफ आर्मर में पेश किया गया था।","カメックス（日本語：カメックスカメックス）は、第1世代で導入された水型のポケモンです。
カメックスには、その殻から突き出たウォータースパウトがあります。ウォータースパウトは非常に正確です。彼らは160フィート以上の距離から空の缶を打つのに十分な精度で水の弾丸を撃つことができます。
カメックスには他に2つの形態があります。それは、Blastoisiniteを使用してMegaBlastoiseにMegaEvolveすることができます。また、アーマー島で導入されたギガンタマックスの形をしています。","Blastoise（日文︰カメックス，英文︰Blastoise）是第一世代引入的水属性宝可梦。
Blastoise 有从其外壳突出的喷水口。喷水口非常准确。他们可以发射足够精确的水弹，从 160 英尺以上的距离击中空罐头。
Blastoise 还有另外两种形式。它可以使用 Blastoisinite 超级进化成超级 Blastoise。它还具有在盔甲岛中引入的 Gigantamax 形式。"
caterpie,"Caterpie (Japanese: キャタピー Caterpie) is a Bug-type Pokémon introduced in Generation I.
Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","Caterpie (japonais : キ ャ タ ピ ー Caterpie) est un Pokémon de type Bug introduit dans la génération I.
Caterpie a un appétit vorace. Il peut dévorer des feuilles plus grosses que son corps sous vos yeux. De son antenne, ce Pokémon dégage une odeur terriblement forte.","Caterpie (en japonés: キャタピー Caterpie) es un Pokémon de tipo bicho introducido en la primera generación.
Caterpie tiene un apetito voraz. Puede devorar hojas más grandes que su cuerpo ante tus ojos. Desde su antena, este Pokémon libera un olor terriblemente fuerte.","Caterpie è un Pokémon di tipo Coleottero introdotto in prima generazione.
Caterpie ha un appetito vorace. Può divorare foglie più grandi del suo corpo proprio davanti ai tuoi occhi. Dalla sua antenna, questo Pokémon sprigiona un odore fortissimo.","캐터피(일어: CATAPIER 캐터피)는 1세대에 도입된 벌레 타입 포켓몬이다.
캐터피는 식욕이 왕성합니다. 눈앞에서 몸보다 큰 잎사귀를 삼킬 수 있습니다. 안테나에서 엄청나게 강한 냄새를 내뿜는 포켓몬.","Caterpie (japanisch: キャタピー Caterpie) ist ein Käfer-Pokémon, das in Generation I eingeführt wurde.
Caterpie hat einen unersättlichen Appetit. Es kann direkt vor Ihren Augen Blätter verschlingen, die größer sind als sein Körper. Aus seiner Antenne verströmt dieses Pokémon einen unglaublich starken Geruch.","कैटरपी (जापानी: कैटरपी) एक बग-प्रकार का पोकेमोन है जिसे जनरेशन I में पेश किया गया है।
कैटरपी की भूख तेज होती है। यह आपकी आंखों के ठीक सामने अपने शरीर से बड़ी पत्तियों को खा सकता है। अपने एंटेना से, यह पोकेमोन बहुत तेज गंध छोड़ता है।","キャタピー（日本語：キャタピーキャタピー）は、ジェネレーションIで導入されたバグタイプのポケモンです。
キャタピーは貪欲な食欲を持っています。それはあなたの目の前でその体よりも大きな葉をむさぼり食うことができます。そのアンテナから、このポケモンはひどく強い臭いを放ちます。","毛毛虫（日文︰キャタピー，英文︰Caterpie）是第一世代引入的虫属性宝可梦。
毛毛虫的胃口很大。它可以在你眼前吞食比身体还大的叶子。这只宝可梦从它的触角释放出一种非常强烈的气味。"
