name,pokedex_num,clear_path,blacked_path,description,tier,generation,de,fr,jp,ko,zh,en
bulbasaur,1.0,./gifs/clear/bulbasaur.gif,./gifs/blacked/bulbasaur.gif,"Bulbasaur is the first Pokémon in the Pokédex. It is a Dual Grass/Poison Type, and it is known as the Seed Pokémon.",0.0,kanto,bisasam,bulbizarre,フシギダネ,이상해씨,妙蛙種子,bulbasaur
ivysaur,2.0,./gifs/clear/ivysaur.gif,./gifs/blacked/ivysaur.gif,"Ivysaur is the second Pokémon in the Pokédex. It is a Grass/Poison type, and it is known as the Seed Pokémon.",0.0,kanto,bisaknosp,herbizarre,フシギソウ,이상해풀,妙蛙草,ivysaur
venusaur,3.0,./gifs/clear/venusaur.gif,./gifs/blacked/venusaur.gif,"Venusaur is the third Pokémon in the Pokédex. It is a Grass/Poison Type, and it is known as the Seed Pokémon.",0.0,kanto,bisaflor,florizarre,フシギバナ,이상해꽃,妙蛙花,venusaur
charmander,4.0,./gifs/clear/charmander.gif,./gifs/blacked/charmander.gif,"Charmander is the fourth Pokémon in the Pokédex. It is a Fire Type, and it is known as the Lizard Pokémon.",0.0,kanto,glumanda,salamèche,ヒトカゲ,파이리,小火龍,charmander
charmeleon,5.0,./gifs/clear/charmeleon.gif,./gifs/blacked/charmeleon.gif,"Charmeleon is the fifth Pokémon in the Pokédex. It is a Fire-Type, and it is known as the Flame Pokémon.",0.0,kanto,glutexo,reptincel,リザード,리자드,火恐龍,charmeleon
charizard,6.0,./gifs/clear/charizard.gif,./gifs/blacked/charizard.gif,"Charizard is the sixth Pokémon in the Pokédex. It is a Fire/Flying Type, and is known as the Flame Pokémon.",0.0,kanto,glurak,dracaufeu,リザードン,리자몽,噴火龍,charizard
squirtle,7.0,./gifs/clear/squirtle.gif,./gifs/blacked/squirtle.gif,"Squirtle is the seventh Pokémon in the Pokédex. It is a Water Type, and it is known as the Tiny Turtle Pokemon.",0.0,kanto,schiggy,carapuce,ゼニガメ,꼬부기,傑尼龜,squirtle
wartortle,8.0,./gifs/clear/wartortle.gif,./gifs/blacked/wartortle.gif,"Wartortle is the eighth Pokémon in the Pokédex. It is a Water Type, and it is known as the Turtle Pokemon.",0.0,kanto,schillok,carabaffe,カメール,어니부기,卡咪龜,wartortle
blastoise,9.0,./gifs/clear/blastoise.gif,./gifs/blacked/blastoise.gif,"Blastoise is the ninth Pokémon in the Pokédex. It is a Water-Type, and it is known as the Shellfish Pokémon.",0.0,kanto,turtok,tortank,カメックス,거북왕,水箭龜,blastoise
caterpie,10.0,./gifs/clear/caterpie.gif,./gifs/blacked/caterpie.gif,"Caterpie is the 10th Pokémon in the Pokédex. It is a Bug-Type, and it is known as the Worm Pokémon.",0.0,kanto,raupy,chenipan,キャタピー,캐터피,綠毛蟲,caterpie
metapod,11.0,./gifs/clear/metapod.gif,./gifs/blacked/metapod.gif,"Metapod is the 11th Pokémon in the Pokédex. It is a Bug-Type, and it is known as the Cocoon Pokémon.",0.0,kanto,safcon,chrysacier,トランセル,단데기,鐵甲蛹,metapod
butterfree,12.0,./gifs/clear/butterfree.gif,./gifs/blacked/butterfree.gif,"Butterfree is the 12th Pokémon in the Pokédex. It is a Bug/Flying Type, and is known as the Butterfly Pokémon.",0.0,kanto,smettbo,papilusion,バタフリー,버터플,巴大蝶,butterfree
weedle,13.0,./gifs/clear/weedle.gif,./gifs/blacked/weedle.gif,"Weedle is the 13th Pokémon in the Pokédex. It is a Bug/Poison type, and is known as the Hairy Bug Pokémon.",0.0,kanto,hornliu,aspicot,ビードル,뿔충이,獨角蟲,weedle
kakuna,14.0,./gifs/clear/kakuna.gif,./gifs/blacked/kakuna.gif,"Kakuna is the 14th Pokémon in the Pokédex. It is a Bug/Poison type, and is known as the Cocoon Pokémon.",0.0,kanto,kokuna,coconfort,コクーン,딱충이,鐵殼蛹,kakuna
beedrill,15.0,./gifs/clear/beedrill.gif,./gifs/blacked/beedrill.gif,"Beedrill is the 15th Pokémon in the Pokédex. It is a Bug/Poison type, and is known as the Poison Bee Pokémon.",0.0,kanto,bibor,dardargnan,スピアー,독침붕,大針蜂,beedrill
pidgey,16.0,./gifs/clear/pidgey.gif,./gifs/blacked/pidgey.gif,"Pidgey is the 16th Pokémon in the Pokédex. It is a Normal/Flying Type, and is known as the Tiny Bird Pokémon.",0.0,kanto,taubsi,roucool,ポッポ,구구,波波,pidgey
pidgeotto,17.0,./gifs/clear/pidgeotto.gif,./gifs/blacked/pidgeotto.gif,"Pidgeotto is the 17th Pokémon in the Pokédex. It is a Normal/Flying Type, and is known as the Bird Pokémon.",0.0,kanto,tauboga,roucoups,ピジョン,피죤,比比鳥,pidgeotto
pidgeot,18.0,./gifs/clear/pidgeot.gif,./gifs/blacked/pidgeot.gif,"Pidgeot is the 18th Pokémon in the Pokédex. It is a Normal/Flying Type, and is known as the Bird Pokémon.",0.0,kanto,tauboss,roucarnage,ピジョット,피죤투,大比鳥,pidgeot
rattata,19.0,./gifs/clear/rattata.gif,./gifs/blacked/rattata.gif,"Rattata is the 19th Pokémon in the Pokédex. It is a Normal type, and is known as the Mouse Pokémon.",0.0,kanto,rattfratz,rattata,コラッタ,꼬렛,小拉達,rattata
raticate,20.0,./gifs/clear/raticate.gif,./gifs/blacked/raticate.gif,"Raticate is the 20th Pokémon in the Pokédex. It is a Normal Type, and is known as the Mouse Pokémon.",0.0,kanto,rattikarl,rattatac,ラッタ,레트라,拉達,raticate
spearow,21.0,./gifs/clear/spearow.gif,./gifs/blacked/spearow.gif,"Spearow is the 21st Pokémon in the Pokédex. It is a Normal/Flying type, and is known as the Tiny Bird Pokémon.",0.0,kanto,habitak,piafabec,オニスズメ,깨비참,烈雀,spearow
fearow,22.0,./gifs/clear/fearow.gif,./gifs/blacked/fearow.gif,"Fearow is the 22nd Pokémon in the Pokédex. It is a Normal/Flying type, and is known as the Beak Pokémon.",0.0,kanto,ibitak,rapasdepic,オニドリル,깨비드릴조,大嘴雀,fearow
ekans,23.0,./gifs/clear/ekans.gif,./gifs/blacked/ekans.gif,"Ekans is the 23rd Pokémon in the Pokédex. It is a Poison Type, and is known as the Snake Pokémon.",0.0,kanto,rettan,abo,アーボ,아보,阿柏蛇,ekans
arbok,24.0,./gifs/clear/arbok.gif,./gifs/blacked/arbok.gif,"Arbok is the 24th Pokémon in the Pokédex. It is a Poison Type, and is known as the Cobra Pokémon.",0.0,kanto,arbok,arbok,アーボック,아보크,阿柏怪,arbok
pikachu,25.0,./gifs/clear/pikachu.gif,./gifs/blacked/pikachu.gif,"Pikachu is the 25th Pokémon in the Pokédex. It is an Electric-Type, and in addition to being listed as a Mouse Pokémon, Pikachu is the mascot of the Pokémon franchise.",0.0,kanto,pikachu,pikachu,ピカチュウ,피카츄,皮卡丘,pikachu
raichu,26.0,./gifs/clear/raichu.gif,./gifs/blacked/raichu.gif,"Raichu is the 26th Pokémon in the Pokédex. It is an Electric Type, and it is known as the Mouse Pokémon.",0.0,kanto,raichu,raichu,ライチュウ,라이츄,雷丘,raichu
sandshrew,27.0,./gifs/clear/sandshrew.gif,./gifs/blacked/sandshrew.gif,"Sandshrew is the 27th Pokémon in the Pokédex. It is a Ground Type, and it is known as the Mouse Pokémon.",0.0,kanto,sandan,sabelette,サンド,모래두지,穿山鼠,sandshrew
sandslash,28.0,./gifs/clear/sandslash.gif,./gifs/blacked/sandslash.gif,"Sandslash is the 28th Pokémon in the Pokédex. It is a Ground-Type, and is known as the Mouse Pokémon.",0.0,kanto,sandamer,sablaireau,サンドパン,고지,穿山王,sandslash
nidoran,,,,,,,,,,,,
nidorina,30.0,./gifs/clear/nidorina.gif,./gifs/blacked/nidorina.gif,"Nidorina is the 30th Pokémon in the Pokédex. It is a Poison-Type, and is known as the Poison Pin Pokémon.",0.0,kanto,nidorina,nidorina,ニドリーナ,니드리나,尼多娜,nidorina
nidoqueen,31.0,./gifs/clear/nidoqueen.gif,./gifs/blacked/nidoqueen.gif,"Nidoqueen is the 31st Pokémon in the Pokédex. It is a Poison/Ground Type, and is known as the Drill Pokémon.",0.0,kanto,nidoqueen,nidoqueen,ニドクイン,니드퀸,尼多后,nidoqueen
nidorino,33.0,./gifs/clear/nidorino.gif,./gifs/blacked/nidorino.gif,"Nidorino is the 33rd Pokémon in the Pokédex. It is a Poison-Type, and is known as the Poison Point Pokémon.",0.0,kanto,nidorino,nidorino,ニドリーノ,니드리노,尼多力諾,nidorino
nidoking,34.0,./gifs/clear/nidoking.gif,./gifs/blacked/nidoking.gif,"Nidoking is the 34th Pokémon in the Pokédex. It is a Poison/Ground Type, and is known as the Drill Pokémon.",0.0,kanto,nidoking,nidoking,ニドキング,니드킹,尼多王,nidoking
clefairy,35.0,./gifs/clear/clefairy.gif,./gifs/blacked/clefairy.gif,"Clefairy is the 35th Pokémon in the Pokédex. It is a Fairy-Type, formerly Normal-Type, and is known as the Fairy Pokémon.",0.0,kanto,piepi,mélofée,ピッピ,삐삐,皮皮,clefairy
clefable,36.0,./gifs/clear/clefable.gif,./gifs/blacked/clefable.gif,"Clefable is the 36th Pokémon in the Pokédex. It is a Fairy-Type, formerly Normal-Type, and is known as the Fairy Pokémon.",0.0,kanto,pixi,mélodelfe,ピクシー,픽시,皮可西,clefable
vulpix,37.0,./gifs/clear/vulpix.gif,./gifs/blacked/vulpix.gif,"Vulpix is the 37th Pokémon in the Pokédex. It is a Fire-Type, and is known as the Fox Pokémon.",0.0,kanto,vulpix,goupix,ロコン,식스테일,六尾,vulpix
ninetales,38.0,./gifs/clear/ninetales.gif,./gifs/blacked/ninetales.gif,"Ninetales is the 38th Pokémon in the Pokédex. It is a Fire-Type, and is known as the Fox Pokémon.",0.0,kanto,vulnona,feunard,キュウコン,나인테일,九尾,ninetales
jigglypuff,39.0,./gifs/clear/jigglypuff.gif,./gifs/blacked/jigglypuff.gif,"Jigglypuff is the 39th Pokémon in the Pokédex. It was a Normal-Type Pokémon before Generation VI when it then became a Dual Normal/Fairy type, and is known as the Balloon Pokémon.",0.0,kanto,pummeluff,rondoudou,プリン,푸린,胖丁,jigglypuff
wigglytuff,40.0,./gifs/clear/wigglytuff.gif,./gifs/blacked/wigglytuff.gif,"Wigglytuff is the 40th Pokémon in the Pokédex. Prior to Generation VI Wigglytuff was a Normal-Type, from then onward becoming a Normal-Fairy/Type, and it is known as the Balloon Pokémon.",0.0,kanto,knuddeluff,grodoudou,プクリン,푸크린,胖可丁,wigglytuff
zubat,41.0,,,,0.0,kanto,zubat,nosferapti,ズバット,주뱃,超音蝠,zubat
golbat,42.0,./gifs/clear/golbat.gif,./gifs/blacked/golbat.gif,"Golbat is the 42nd Pokémon in the Pokédex. It is a Poison/Flying Type, and it is known as the Bat Pokémon.",0.0,kanto,golbat,nosferalto,ゴルバット,골뱃,大嘴蝠,golbat
oddish,43.0,./gifs/clear/oddish.gif,./gifs/blacked/oddish.gif,"Oddish is the 43rd Pokémon in the Pokédex. It is a Grass/Poison-Type, and is known as the Weed Pokémon.",0.0,kanto,myrapla,mystherbe,ナゾノクサ,뚜벅쵸,走路草,oddish
gloom,44.0,./gifs/clear/gloom.gif,./gifs/blacked/gloom.gif,"Gloom is the 44th Pokémon in the Pokédex. It is a Grass/Poison-Type, and is known as the Weed Pokémon.",0.0,kanto,duflor,ortide,クサイハナ,냄새꼬,臭臭花,gloom
vileplume,45.0,./gifs/clear/vileplume.gif,./gifs/blacked/vileplume.gif,"Vileplume is the 45th Pokémon in the Pokédex. It is a Grass/Poison-Type, and is known as the Flower Pokémon.",0.0,kanto,giflor,rafflesia,ラフレシア,라플레시아,霸王花,vileplume
paras,46.0,./gifs/clear/paras.gif,./gifs/blacked/paras.gif,"Paras is the 46th Pokémon in the Pokédex. It is a Bug/Grass-Type, and is known as the Mushroom Pokémon.",0.0,kanto,paras,paras,パラス,파라스,派拉斯,paras
parasect,47.0,./gifs/clear/parasect.gif,./gifs/blacked/parasect.gif,"Parasect is the 47th Pokémon in the Pokédex. It is a Bug/Grass-Type, and is known as the Mushroom Pokémon.",0.0,kanto,parasek,parasect,パラセクト,파라섹트,派拉斯特,parasect
venonat,48.0,./gifs/clear/venonat.gif,./gifs/blacked/venonat.gif,"Venonat is the 48th Pokémon in the Pokédex. It is a Bug/Poison-Type, and is known as the Insect Pokémon.",0.0,kanto,bluzuk,mimitoss,コンパン,콘팡,毛球,venonat
venomoth,49.0,./gifs/clear/venomoth.gif,./gifs/blacked/venomoth.gif,"Venomoth is the 49th Pokémon in the Pokédex. It is a Bug/Poison-Type, and is known as the Poison Moth Pokémon.",0.0,kanto,omot,aéromite,モルフォン,도나리,摩魯蛾,venomoth
diglett,50.0,./gifs/clear/diglett.gif,./gifs/blacked/diglett.gif,"Diglett is the 50th Pokémon in the Pokédex. It is a Ground-Type, and is known as the Mole Pokémon.",0.0,kanto,digda,taupiqueur,ディグダ,디그다,地鼠,diglett
dugtrio,51.0,./gifs/clear/dugtrio.gif,./gifs/blacked/dugtrio.gif,"Dugtrio is the 51st Pokémon in the Pokédex. It is a Ground-Type, and it is known as the Mole Pokémon.",0.0,kanto,digdri,triopikeur,ダグトリオ,닥트리오,三地鼠,dugtrio
