name;time
getServerPrefix;424208
on_message_global;142396
getServerPrefix;364971
on_message_global;132040
getServerPrefix;354304
on_message_global;130106
on_message_global;129799
getServerPrefix;345112
on_message_global;131199
getServerPrefix;571843
on_message_global;140183
getServerPrefix;669993
on_message_global;134876
getServerPrefix;368873
on_message_global;131909
on_message_global;128553
getServerPrefix;384936
on_message_global;133279
getServerPrefix;374890
on_message_global;131279
getServerPrefix;379455
on_message_global;135859
getServerPrefix;353514
on_message_global;149430
getServerPrefix;397115
on_message_global;129982
getServerPrefix;378122
on_message_global;133113
getServerPrefix;360382
on_message_global;128277
on_message_global;132016
on_message_global;134258
getServerPrefix;374252
on_message_global;132128
getServerPrefix;631979
on_message_global;133101
on_guild_remove;133051
on_message_global;129498
getServerPrefix;370214
on_message_global;142041
getServerPrefix;377451
on_message_global;129502
getServerPrefix;630702
on_message_global;131842
on_message_global;145503
on_message_global;134066
getServerPrefix;393845
on_message_global;133274
getServerPrefix;364671
on_message_global;133684
getServerPrefix;384086
on_message_global;133120
on_message_global;135673
getServerPrefix;365485
on_message_global;131818
getServerPrefix;351243
on_message_global;131911
getServerPrefix;391715
on_message_global;132797
getServerPrefix;374839
on_message_global;132756
on_message_global;135246
on_message_global;132228
on_message_global;134754
getServerPrefix;608335
on_message_global;130988
on_message_global;137121
getServerPrefix;365956
on_message_global;179686
getServerPrefix;367131
on_message_global;176940
on_message_global;136584
getServerPrefix;375561
on_message_global;128986
on_message_global;142773
getServerPrefix;356869
on_message_global;128009
getServerPrefix;366034
on_message_global;130723
on_message_global;128761
on_message_global;138289
getServerPrefix;369064
on_message_global;178733
getServerPrefix;605661
on_message_global;179264
on_message_global;134053
getServerPrefix;365605
on_message_global;169146
getServerPrefix;370410
on_message_global;138294
on_message_global;135009
getServerPrefix;376010
on_message_global;134734
on_message_global;133063
getServerPrefix;422397
on_message_global;135647
on_message_global;132869
getServerPrefix;376116
on_message_global;176831
on_message_global;135453
getServerPrefix;599763
on_message_global;178443
getServerPrefix;369138
on_message_global;134407
on_message_global;131021
on_message_global;130801
on_message_global;129883
getServerPrefix;359673
on_message_global;128241
getServerPrefix;344728
on_message_global;126654
getServerPrefix;371042
on_message_global;131568
getServerPrefix;367963
on_message_global;189247
on_message_global;139281
on_message_global;133025
getServerPrefix;387110
on_message_global;135570
on_message_global;132970
on_message_global;136016
on_message_global;137907
on_message_global;130069
getServerPrefix;363457
on_message_global;129966
getServerPrefix;374400
on_message_global;131567
on_message_global;132863
getServerPrefix;619530
on_message_global;137469
getServerPrefix;612060
on_message_global;126311
on_message_global;131768
on_message_global;133557
on_message_global;126774
getServerPrefix;371715
on_message_global;135168
on_message_global;131668
on_message_global;132691
on_message_global;133228
on_message_global;129191
on_message_global;131700
on_message_global;130957
on_message_global;138092
on_message_global;132675
on_message_global;126261
on_message_global;123007
on_message_global;140114
on_message_global;131370
on_message_global;126940
on_message_global;137858
on_message_global;130198
getServerPrefix;376236
on_message_global;179156
on_message_global;135053
on_message_global;135118
on_message_global;133988
on_message_global;131128
on_message_global;135022
on_message_global;134204
on_message_global;132035
on_message_global;132780
on_message_global;123516
on_message_global;140294
on_message_global;129924
on_message_global;135269
on_message_global;131805
on_message_global;129906
on_message_global;130246
on_message_global;138924
on_message_global;131288
on_message_global;137988
on_message_global;132378
on_message_global;126421
on_message_global;151339
on_message_global;139396
on_message_global;130453
on_message_global;127264
on_message_global;139153
on_message_global;127842
on_message_global;139805
getServerPrefix;609275
on_message_global;128521
on_message_global;140713
getServerPrefix;391586
on_message_global;139155
on_message_global;131640
on_message_global;132156
on_message_global;130308
on_message_global;143044
on_message_global;125538
on_message_global;129947
on_message_global;135064
on_message_global;133458
on_message_global;135362
on_message_global;130559
on_message_global;132113
on_message_global;135307
on_message_global;133930
on_message_global;127797
on_message_global;136850
getServerPrefix;371401
on_message_global;130417
on_message_global;132485
on_message_global;129587
on_message_global;127813
on_message_global;132733
on_message_global;135905
on_message_global;125468
getServerPrefix;365195
on_message_global;182446
on_message_global;131593
on_message_global;136389
on_message_global;138588
on_message_global;134067
on_message_global;137468
on_message_global;134337
getServerPrefix;374585
on_message_global;202288
on_message_global;134216
on_message_global;133589
getServerPrefix;375106
on_message_global;178390
getServerPrefix;366766
on_message_global;129902
getServerPrefix;366964
on_message_global;131153
on_message_global;131209
getServerPrefix;358337
on_message_global;133838
getServerPrefix;347789
on_message_global;129877
on_message_global;129054
on_message_global;145856
getServerPrefix;376882
on_message_global;131448
getServerPrefix;388243
on_message_global;112759
on_message_global;132642
getServerPrefix;394733
on_message_global;142388
getServerPrefix;676991
on_message_global;136921
on_message_global;145159
on_message_global;131426
on_message_global;139746
getServerPrefix;361477
on_message_global;131536
getServerPrefix;362660
on_message_global;136051
getServerPrefix;357326
on_message_global;131499
getServerPrefix;407367
on_message_global;129273
on_message_global;129765
getServerPrefix;366267
on_message_global;126815
on_message_global;128835
getServerPrefix;359786
on_message_global;203636
getServerPrefix;388727
on_message_global;134689
getServerPrefix;382450
on_message_global;177416
on_message_global;145319
getServerPrefix;341812
on_message_global;142002
on_message_global;130258
on_message_global;139933
getServerPrefix;735643
on_message_global;140564
getServerPrefix;628574
on_message_global;140502
on_message_global;134061
getServerPrefix;379608
on_message_global;130948
on_message_global;136250
on_message_global;137859
on_message_global;53369
on_message_global;129107
on_message_global;132873
getServerPrefix;615268
on_message_global;129497
