,pindex,1,2,3,4,5
0,001,bulbasaur,Bulbasaur,フシギダネ,Fushigidane,Fushigidane
1,002,ivysaur,Ivysaur,フシギソウ,Fushigisō,Fushigisou
2,003,venusaur,Venusaur,フシギバナ,Fushigibana,Fushigibana
3,004,charmander,Charmander,ヒトカゲ,Hitokage,Hitokage
4,005,charmeleon,Charmeleon,リザード,Rizādo,Lizardo
5,006,charizard,Charizard,リザードン,Rizādon,Lizardon
6,007,squirtle,Squirtle,ゼニガメ,Zenigame,Zenigame
7,008,wartortle,Wartortle,カメール,Kamēru,Kameil
8,009,blastoise,Blastoise,カメックス,Kamekkusu,Kamex
9,010,caterpie,Caterpie,キャタピー,Kyatapī,Caterpie
10,011,metapod,Metapod,トランセル,Toranseru,Transel
11,012,butterfree,Butterfree,バタフリー,Batafurī,Butterfree
12,013,weedle,Weedle,ビードル,Bīdoru,Beedle
13,014,kakuna,Kakuna,コクーン,Kokūn,Cocoon
14,015,beedrill,Beedrill,スピアー,Supiā,Spear
15,016,pidgey,Pidgey,ポッポ,Poppo,Poppo
16,017,pidgeotto,Pidgeotto,ピジョン,Pijon,Pigeon*
17,018,pidgeot,Pidgeot,ピジョット,Pijotto,Pigeot*
18,019,rattata,Rattata,コラッタ,Koratta,Koratta
19,020,raticate,Raticate,ラッタ,Ratta,Ratta
20,021,spearow,Spearow,オニスズメ,Onisuzume,Onisuzume
21,022,fearow,Fearow,オニドリル,Onidoriru,Onidrill
22,023,ekans,Ekans,アーボ,Ābo,Arbo
23,024,arbok,Arbok,アーボック,Ābokku,Arbok
24,025,pikachu,Pikachu,ピカチュウ,Pikachū,Pikachu
25,026,raichu,Raichu,ライチュウ,Raichū,Raichu
26,027,sandshrew,Sandshrew,サンド,Sando,Sand
27,028,sandslash,Sandslash,サンドパン,Sandopan,Sandpan
28,029,nidoran♀,Nidoran♀,ニドラン♀,Nidoran Mesu,Nidoran♀
29,030,nidorina,Nidorina,ニドリーナ,Nidorīna,Nidorina*
30,031,nidoqueen,Nidoqueen,ニドクイン,Nidokuin,Nidoqueen
31,032,nidoran♂,Nidoran♂,ニドラン♂,Nidoran Osu,Nidoran♂
32,033,nidorino,Nidorino,ニドリーノ,Nidorīno,Nidorino*
33,034,nidoking,Nidoking,ニドキング,Nidokingu,Nidoking
34,035,clefairy,Clefairy,ピッピ,Pippi,Pippi
35,036,clefable,Clefable,ピクシー,Pikushī,Pixy*
36,037,vulpix,Vulpix,ロコン,Rokon,Rokon
37,038,ninetales,Ninetales,キュウコン,Kyūkon,Kyukon
38,039,jigglypuff,Jigglypuff,プリン,Purin,Purin
39,040,wigglytuff,Wigglytuff,プクリン,Pukurin,Pukurin
40,041,zubat,Zubat,ズバット,Zubatto,Zubat
41,042,golbat,Golbat,ゴルバット,Gorubatto,Golbat
42,043,oddish,Oddish,ナゾノクサ,Nazonokusa,Nazonokusa
43,044,gloom,Gloom,クサイハナ,Kusaihana,Kusaihana
44,045,vileplume,Vileplume,ラフレシア,Rafureshia,Ruffresia*
45,046,paras,Paras,パラス,Parasu,Paras
46,047,parasect,Parasect,パラセクト,Parasekuto,Parasect
47,048,venonat,Venonat,コンパン,Konpan,Kongpang
48,049,venomoth,Venomoth,モルフォン,Morufon,Morphon
49,050,diglett,Diglett,ディグダ,Diguda,Digda
50,051,dugtrio,Dugtrio,ダグトリオ,Dagutorio,Dugtrio
51,052,meowth,Meowth,ニャース,Nyāsu,Nyarth*
52,053,persian,Persian,ペルシアン,Perushian,Persian
53,054,psyduck,Psyduck,コダック,Kodakku,Koduck*
54,055,golduck,Golduck,ゴルダック,Gorudakku,Golduck*
55,056,mankey,Mankey,マンキー,Mankī,Mankey
56,057,primeape,Primeape,オコリザル,Okorizaru,Okorizaru
