name,clear_path,blacked_path,description
abomasnow-mega,./gifs/clear/abomasnow-mega.gif,./gifs/blacked/abomasnow-mega.gif,"Mega Abomasnow is the Mega Evolution of Abomasnow, activated by using the Mega Stone. It is a dual Grass/Ice-Type."
abomasnow,./gifs/clear/abomasnow.gif,./gifs/blacked/abomasnow.gif,"Abomasnow is the 143rd Pokémon in the Sinnoh Pokédex. It is a Grass/Ice Type, and is known as the Frost Tree Pokémon."
abra,./gifs/clear/abra.gif,./gifs/blacked/abra.gif,"Abra is the 63rd Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Psi Pokémon."
absol-mega,./gifs/clear/absol-mega.gif,./gifs/blacked/absol-mega.gif,"Mega Absol is the Mega Evolution of Absol, activated by using the Mega Stone, was revealed in the August 2013 edition of CoroCoro. It is a Dark-Type, and is known as the Disaster Pokémon."
absol,./gifs/clear/absol.gif,./gifs/blacked/absol.gif,"Absol is the 152nd Pokémon in the Hoenn Pokédex. It is a Dark Type, and it is known as the Disaster Pokémon."
accelgor,./gifs/clear/accelgor.gif,./gifs/blacked/accelgor.gif,"Accelgor is the 123rd Pokémon in the Unova Pokédex. It is a Bug Type, and it is known as the Shell Out Pokémon."
aegislash,./gifs/clear/aegislash.gif,./gifs/blacked/aegislash.gif,"Aegislash is the 119th Pokémon in the Kalos Central Pokédex It is a Steel/Ghost-Type, and is known as the Royal Sword Pokémon."
aerodactyl-mega,./gifs/clear/aerodactyl-mega.gif,./gifs/blacked/aerodactyl-mega.gif,Mega Aerodactyl evolves from Aerodactyl from the use of a Aerodactylite.
aerodactyl,./gifs/clear/aerodactyl.gif,./gifs/blacked/aerodactyl.gif,"Aerodactyl is the 142nd Pokémon in the Pokédex. It is a Rock/Flying-Type, and is known as the Fossil Pokémon."
aggron,./gifs/clear/aggron.gif,./gifs/blacked/aggron.gif,"Aggron is the 72nd Pokémon in the Hoenn Pokédex. It is a Steel/Rock Type, and it is known as the Iron Armor Pokémon."
aipom,./gifs/clear/aipom.gif,./gifs/blacked/aipom.gif,"Aipom is the 123rd Pokémon in the Johto Pokédex. It is a Normal Type, and it is known as the Long Tail Pokémon."
alakazam-mega,./gifs/clear/alakazam-mega.gif,./gifs/blacked/alakazam-mega.gif,"Mega Alakazam is the Mega Evolution of Alakazam, activated by using Mega Stone, was revealed in the August 2013 edition of CoroCoro. It remains a pure Psychic-Type."
alakazam,./gifs/clear/alakazam.gif,./gifs/blacked/alakazam.gif,"Alakazam is the 65th Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Psi Pokémon."
alcremie-gigantamax,./gifs/clear/alcremie-gigantamax.gif,./gifs/blacked/alcremie-gigantamax.gif,All Fairy-type attacks used by a Gigantamax Alcremie automatically change into 'G-Max Finale. This Fairy-type attack deals damage to an opponent while simultaneously healing all ally Pokemon on Alcremie's side of the field.
alcremie,./gifs/clear/alcremie.gif,./gifs/blacked/alcremie.gif,"Alcremie is the 185th Pokémon in the Galar Pokédex. It is a Fairy-type, and is known as the Cream Pokémon."
alomomola,./gifs/clear/alomomola.gif,./gifs/blacked/alomomola.gif,"Alomomola is the 100th Pokémon in the Unova Pokédex. It is a Water-Type, and it is known as the Caring Pokémon."
altaria,./gifs/clear/altaria.gif,./gifs/blacked/altaria.gif,"Altaria is the 122nd Pokémon in the Hoenn Pokédex. It is a Dragon/Flying-Type, and it is known as the Humming Pokémon."
amaura,./gifs/clear/amaura.gif,./gifs/blacked/amaura.gif,"Amaura is the 66th Pokémon in the Kalos Coastal Pokédex. It is a Rock/Ice-Type, and is known as the Tundra Pokémon."
ambipom,./gifs/clear/ambipom.gif,./gifs/blacked/ambipom.gif,"Ambipom is the 64th Pokémon in the Sinnoh Pokédex. It is a Normal-Type, and is known as the Long Tail Pokémon."
amoonguss,./gifs/clear/amoonguss.gif,./gifs/blacked/amoonguss.gif,"Amoonguss is the 97th Pokémon in the Unova Pokédex. It is a Grass/Poison Type, and it is known as the Mushroom Pokémon."
ampharos-mega,./gifs/clear/ampharos-mega.gif,./gifs/blacked/ampharos-mega.gif,"Mega Ampharos is the Mega Evolution of Ampharos, activated by using the Mega Stone, first revealed in the August 2013 edition of CoroCoro. It is an Electric/Dragon-Type, and is known as the Light Pokémon."
ampharos,./gifs/clear/ampharos.gif,./gifs/blacked/ampharos.gif,"Ampharos is the 55th Pokémon in the Johto Pokédex. It is an Electric-Type, and it is known as the Light Pokémon."
anorith,./gifs/clear/anorith.gif,./gifs/blacked/anorith.gif,"Anorith is the 135th Pokémon in the Hoenn Pokédex. It is a Rock/Bug type, and is known as the Old Shrimp Pokémon."
appletun-gigantamax,./gifs/clear/appletun-gigantamax.gif,./gifs/blacked/appletun-gigantamax.gif,"Due to Gigantamax energy, this Pokémon's nectar has thickened. The increased viscosity lets the nectar absorb more damage than before."
appletun,./gifs/clear/appletun.gif,./gifs/blacked/appletun.gif,"Appletun is the 207th Pokémon in the Galar Pokédex. It is a Grass/Dragon-type, and is known as the Apple Nectar Pokémon."
applin,./gifs/clear/applin.gif,./gifs/blacked/applin.gif,"Applin is the 205th Pokémon in the Galar Pokédex. It is a Grass/Dragon-type, and is known as the Apple Core Pokémon."
araquanid,./gifs/clear/araquanid.gif,./gifs/blacked/araquanid.gif,"Araquanid is the 142nd Pokémon in the Alola Pokédex. It is a Water/Bug type, and is known as the Water Bubble Pokémon."
arbok,./gifs/clear/arbok.gif,./gifs/blacked/arbok.gif,"Arbok is the 24th Pokémon in the Pokédex. It is a Poison Type, and is known as the Cobra Pokémon."
arcanine,./gifs/clear/arcanine.gif,./gifs/blacked/arcanine.gif,"Arcanine is the 59th Pokémon in the Pokédex. It is a Fire-Type, and is known as the Legendary Pokémon."
