name,clear_path,blacked_path,description,tier
abomasnow-mega,./gifs/clear/abomasnow-mega.gif,./gifs/blacked/abomasnow-mega.gif,"Mega Abomasnow is the Mega Evolution of Abomasnow, activated by using the Mega Stone. It is a dual Grass/Ice-Type.",0
abomasnow,./gifs/clear/abomasnow.gif,./gifs/blacked/abomasnow.gif,"Abomasnow is the 143rd Pokémon in the Sinnoh Pokédex. It is a Grass/Ice Type, and is known as the Frost Tree Pokémon.",0
abra,./gifs/clear/abra.gif,./gifs/blacked/abra.gif,"Abra is the 63rd Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Psi Pokémon.",0
absol-mega,./gifs/clear/absol-mega.gif,./gifs/blacked/absol-mega.gif,"Mega Absol is the Mega Evolution of Absol, activated by using the Mega Stone, was revealed in the August 2013 edition of CoroCoro. It is a Dark-Type, and is known as the Disaster Pokémon.",0
absol,./gifs/clear/absol.gif,./gifs/blacked/absol.gif,"Absol is the 152nd Pokémon in the Hoenn Pokédex. It is a Dark Type, and it is known as the Disaster Pokémon.",0
accelgor,./gifs/clear/accelgor.gif,./gifs/blacked/accelgor.gif,"Accelgor is the 123rd Pokémon in the Unova Pokédex. It is a Bug Type, and it is known as the Shell Out Pokémon.",0
aegislash,./gifs/clear/aegislash.gif,./gifs/blacked/aegislash.gif,"Aegislash is the 119th Pokémon in the Kalos Central Pokédex It is a Steel/Ghost-Type, and is known as the Royal Sword Pokémon.",0
aerodactyl-mega,./gifs/clear/aerodactyl-mega.gif,./gifs/blacked/aerodactyl-mega.gif,Mega Aerodactyl evolves from Aerodactyl from the use of a Aerodactylite.,0
aerodactyl,./gifs/clear/aerodactyl.gif,./gifs/blacked/aerodactyl.gif,"Aerodactyl is the 142nd Pokémon in the Pokédex. It is a Rock/Flying-Type, and is known as the Fossil Pokémon.",0
aggron,./gifs/clear/aggron.gif,./gifs/blacked/aggron.gif,"Aggron is the 72nd Pokémon in the Hoenn Pokédex. It is a Steel/Rock Type, and it is known as the Iron Armor Pokémon.",0
aipom,./gifs/clear/aipom.gif,./gifs/blacked/aipom.gif,"Aipom is the 123rd Pokémon in the Johto Pokédex. It is a Normal Type, and it is known as the Long Tail Pokémon.",0
alakazam-mega,./gifs/clear/alakazam-mega.gif,./gifs/blacked/alakazam-mega.gif,"Mega Alakazam is the Mega Evolution of Alakazam, activated by using Mega Stone, was revealed in the August 2013 edition of CoroCoro. It remains a pure Psychic-Type.",0
alakazam,./gifs/clear/alakazam.gif,./gifs/blacked/alakazam.gif,"Alakazam is the 65th Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Psi Pokémon.",0
alcremie-gigantamax,./gifs/clear/alcremie-gigantamax.gif,./gifs/blacked/alcremie-gigantamax.gif,All Fairy-type attacks used by a Gigantamax Alcremie automatically change into 'G-Max Finale. This Fairy-type attack deals damage to an opponent while simultaneously healing all ally Pokemon on Alcremie's side of the field.,0
alcremie,./gifs/clear/alcremie.gif,./gifs/blacked/alcremie.gif,"Alcremie is the 185th Pokémon in the Galar Pokédex. It is a Fairy-type, and is known as the Cream Pokémon.",0
alomomola,./gifs/clear/alomomola.gif,./gifs/blacked/alomomola.gif,"Alomomola is the 100th Pokémon in the Unova Pokédex. It is a Water-Type, and it is known as the Caring Pokémon.",0
altaria,./gifs/clear/altaria.gif,./gifs/blacked/altaria.gif,"Altaria is the 122nd Pokémon in the Hoenn Pokédex. It is a Dragon/Flying-Type, and it is known as the Humming Pokémon.",0
amaura,./gifs/clear/amaura.gif,./gifs/blacked/amaura.gif,"Amaura is the 66th Pokémon in the Kalos Coastal Pokédex. It is a Rock/Ice-Type, and is known as the Tundra Pokémon.",0
ambipom,./gifs/clear/ambipom.gif,./gifs/blacked/ambipom.gif,"Ambipom is the 64th Pokémon in the Sinnoh Pokédex. It is a Normal-Type, and is known as the Long Tail Pokémon.",0
amoonguss,./gifs/clear/amoonguss.gif,./gifs/blacked/amoonguss.gif,"Amoonguss is the 97th Pokémon in the Unova Pokédex. It is a Grass/Poison Type, and it is known as the Mushroom Pokémon.",0
ampharos-mega,./gifs/clear/ampharos-mega.gif,./gifs/blacked/ampharos-mega.gif,"Mega Ampharos is the Mega Evolution of Ampharos, activated by using the Mega Stone, first revealed in the August 2013 edition of CoroCoro. It is an Electric/Dragon-Type, and is known as the Light Pokémon.",0
ampharos,./gifs/clear/ampharos.gif,./gifs/blacked/ampharos.gif,"Ampharos is the 55th Pokémon in the Johto Pokédex. It is an Electric-Type, and it is known as the Light Pokémon.",0
anorith,./gifs/clear/anorith.gif,./gifs/blacked/anorith.gif,"Anorith is the 135th Pokémon in the Hoenn Pokédex. It is a Rock/Bug type, and is known as the Old Shrimp Pokémon.",0
appletun-gigantamax,./gifs/clear/appletun-gigantamax.gif,./gifs/blacked/appletun-gigantamax.gif,"Due to Gigantamax energy, this Pokémon's nectar has thickened. The increased viscosity lets the nectar absorb more damage than before.",0
appletun,./gifs/clear/appletun.gif,./gifs/blacked/appletun.gif,"Appletun is the 207th Pokémon in the Galar Pokédex. It is a Grass/Dragon-type, and is known as the Apple Nectar Pokémon.",0
applin,./gifs/clear/applin.gif,./gifs/blacked/applin.gif,"Applin is the 205th Pokémon in the Galar Pokédex. It is a Grass/Dragon-type, and is known as the Apple Core Pokémon.",0
araquanid,./gifs/clear/araquanid.gif,./gifs/blacked/araquanid.gif,"Araquanid is the 142nd Pokémon in the Alola Pokédex. It is a Water/Bug type, and is known as the Water Bubble Pokémon.",0
arbok,./gifs/clear/arbok.gif,./gifs/blacked/arbok.gif,"Arbok is the 24th Pokémon in the Pokédex. It is a Poison Type, and is known as the Cobra Pokémon.",0
arcanine,./gifs/clear/arcanine.gif,./gifs/blacked/arcanine.gif,"Arcanine is the 59th Pokémon in the Pokédex. It is a Fire-Type, and is known as the Legendary Pokémon.",0
arceus,./gifs/clear/arceus.gif,./gifs/blacked/arceus.gif,"Arceus is the 493rd Pokémon in the Pokédex. It can potentially be any of the 18 known types of Pokémon, and it is known as the Alpha Pokémon.",0
archen,./gifs/clear/archen.gif,./gifs/blacked/archen.gif,"Archen is the 72nd Pokémon in the Unova Pokédex. It is a Rock/Flying-Type, and it is known as the First Bird Pokémon.",0
archeops,./gifs/clear/archeops.gif,./gifs/blacked/archeops.gif,"Archeops is the 73rd Pokémon in the Unova Pokédex. It is a Rock/Flying Type, and it is known as the First Bird Pokémon.",0
arctovish,./gifs/clear/arctovish.gif,./gifs/blacked/arctovish.gif,Arctovish is a Water/Ice type Pokémon introduced in Generation 8. It is known as the Fossil Pokémon.,0
arctozolt,./gifs/clear/arctozolt.gif,./gifs/blacked/arctozolt.gif,Arctozolt is an Electric/Ice type Pokémon introduced in Generation 8. The shaking of its freezing upper half is what generates its electricity.,0
ariados,./gifs/clear/ariados.gif,./gifs/blacked/ariados.gif,"Ariados is the 33rd Pokémon in the Johto Pokédex. It is a Bug/Poison type, and is known as the Long Leg Pokémon.",0
