name,pokedex_num,clear_path,blacked_path,description,tier,generation
abomasnow-mega,,./gifs/clear/abomasnow-mega.gif,./gifs/blacked/abomasnow-mega.gif,"Mega Abomasnow is the Mega Evolution of Abomasnow, activated by using the Mega Stone. It is a dual Grass/Ice-Type.",0.0,mega
abomasnow,460.0,./gifs/clear/abomasnow.gif,./gifs/blacked/abomasnow.gif,"Abomasnow is the 143rd Pokémon in the Sinnoh Pokédex. It is a Grass/Ice Type, and is known as the Frost Tree Pokémon.",0.0,
abra,63.0,./gifs/clear/abra.gif,./gifs/blacked/abra.gif,"Abra is the 63rd Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Psi Pokémon.",0.0,kanto
absol-mega,,./gifs/clear/absol-mega.gif,./gifs/blacked/absol-mega.gif,"Mega Absol is the Mega Evolution of Absol, activated by using the Mega Stone, was revealed in the August 2013 edition of CoroCoro. It is a Dark-Type, and is known as the Disaster Pokémon.",0.0,mega
absol,359.0,./gifs/clear/absol.gif,./gifs/blacked/absol.gif,"Absol is the 152nd Pokémon in the Hoenn Pokédex. It is a Dark Type, and it is known as the Disaster Pokémon.",0.0,hoenn
accelgor,617.0,./gifs/clear/accelgor.gif,./gifs/blacked/accelgor.gif,"Accelgor is the 123rd Pokémon in the Unova Pokédex. It is a Bug Type, and it is known as the Shell Out Pokémon.",0.0,unova
aegislash,681.0,./gifs/clear/aegislash.gif,./gifs/blacked/aegislash.gif,"Aegislash is the 119th Pokémon in the Kalos Central Pokédex It is a Steel/Ghost-Type, and is known as the Royal Sword Pokémon.",0.0,kalos
aerodactyl-mega,,./gifs/clear/aerodactyl-mega.gif,./gifs/blacked/aerodactyl-mega.gif,Mega Aerodactyl evolves from Aerodactyl from the use of a Aerodactylite.,0.0,mega
aerodactyl,142.0,./gifs/clear/aerodactyl.gif,./gifs/blacked/aerodactyl.gif,"Aerodactyl is the 142nd Pokémon in the Pokédex. It is a Rock/Flying-Type, and is known as the Fossil Pokémon.",0.0,kanto
aggron,306.0,./gifs/clear/aggron.gif,./gifs/blacked/aggron.gif,"Aggron is the 72nd Pokémon in the Hoenn Pokédex. It is a Steel/Rock Type, and it is known as the Iron Armor Pokémon.",0.0,hoenn
aipom,190.0,./gifs/clear/aipom.gif,./gifs/blacked/aipom.gif,"Aipom is the 123rd Pokémon in the Johto Pokédex. It is a Normal Type, and it is known as the Long Tail Pokémon.",0.0,johto
alakazam-mega,,./gifs/clear/alakazam-mega.gif,./gifs/blacked/alakazam-mega.gif,"Mega Alakazam is the Mega Evolution of Alakazam, activated by using Mega Stone, was revealed in the August 2013 edition of CoroCoro. It remains a pure Psychic-Type.",0.0,mega
alakazam,65.0,./gifs/clear/alakazam.gif,./gifs/blacked/alakazam.gif,"Alakazam is the 65th Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Psi Pokémon.",0.0,kanto
alcremie-gigantamax,,./gifs/clear/alcremie-gigantamax.gif,./gifs/blacked/alcremie-gigantamax.gif,All Fairy-type attacks used by a Gigantamax Alcremie automatically change into 'G-Max Finale. This Fairy-type attack deals damage to an opponent while simultaneously healing all ally Pokemon on Alcremie's side of the field.,0.0,gmax
