name,pokedex_num,clear_path,blacked_path,tier,generation,de,fr,jp,ko,zh,en,es,it,hi,shiny_path
abomasnow-mega,,./gifs/clear/abomasnow-mega.gif,./gifs/blacked/abomasnow-mega.gif,0.0,mega,abomasnow mega,abomasnow mega,abomasnow mega,abomasnow mega,abomasnow mega,abomasnow mega,abomasnow mega,abomasnow mega,abomasnow mega,./gifs/shiny/abomasnow-mega.gif
abomasnow,460.0,./gifs/clear/abomasnow.gif,./gifs/blacked/abomasnow.gif,0.0,other,rexblisar,blizzaroi,ユキノオー,눈설왕,暴雪王,abomasnow,abomasnow,abomasnow,abomasnow,./gifs/shiny/abomasnow.gif
abra,63.0,./gifs/clear/abra.gif,./gifs/blacked/abra.gif,0.0,kanto,abra,abra,ケーシィ,캐이시,凱西,abra,abra,abra,abra,./gifs/shiny/abra.gif
absol-mega,,./gifs/clear/absol-mega.gif,./gifs/blacked/absol-mega.gif,0.0,mega,absol mega,absol mega,absol mega,absol mega,absol mega,absol mega,absol mega,absol mega,absol mega,./gifs/shiny/absol-mega.gif
absol,359.0,./gifs/clear/absol.gif,./gifs/blacked/absol.gif,0.0,hoenn,absol,absol,アブソル,앱솔,阿勃梭魯,absol,absol,absol,absol,./gifs/shiny/absol.gif
accelgor,617.0,./gifs/clear/accelgor.gif,./gifs/blacked/accelgor.gif,0.0,unova,hydragil,limaspeed,アギルダー,어지리더,敏捷蟲,accelgor,accelgor,accelgor,accelgor,./gifs/shiny/accelgor.gif
aegislash,681.0,./gifs/clear/aegislash.gif,./gifs/blacked/aegislash.gif,0.0,kalos,durengard,exagide,ギルガルド,킬가르도,堅盾劍怪,aegislash,aegislash,aegislash,aegislash,./gifs/shiny/aegislash.gif
aerodactyl-mega,,./gifs/clear/aerodactyl-mega.gif,./gifs/blacked/aerodactyl-mega.gif,0.0,mega,aerodactyl mega,aerodactyl mega,aerodactyl mega,aerodactyl mega,aerodactyl mega,aerodactyl mega,aerodactyl mega,aerodactyl mega,aerodactyl mega,./gifs/shiny/aerodactyl-mega.gif
aerodactyl,142.0,./gifs/clear/aerodactyl.gif,./gifs/blacked/aerodactyl.gif,0.0,kanto,aerodactyl,ptéra,プテラ,프테라,化石翼龍,aerodactyl,aerodactyl,aerodactyl,aerodactyl,./gifs/shiny/aerodactyl.gif
aggron-mega,,./gifs/clear/aggron-mega.gif,./gifs/blacked/aggron-mega.gif,,mega,aggron mega,aggron mega,aggron mega,aggron mega,aggron mega,aggron mega,aggron mega,aggron mega,aggron mega,./gifs/shiny/aggron-mega.gif
